Empresa,Prefixo,Carroceria,Ano,Chassi,Portas,Letreiro,Elevador,Ar
Santa Rosa,100,Volare W9 Fly,2015,Agrale W9 Fly,1,LEDS,Não,Sim
Santa Rosa,101,Comil Svelto 6,2015,Volvo B270F,2,Mobitec,Sim,Não
Santa Rosa,102,Comil Svelto 6,2015,Volvo B270F,2,Mobitec,Sim,Não
Santa Rosa,103,Comil Svelto 6,2015,Volvo B270F,2,Mobitec,Sim,Não
Santa Rosa,104,Comil Svelto 6,2015,Volvo B270F,2,Mobitec,Sim,Não
Santa Rosa,105,Comil Svelto 6,2015,Volvo B270F,2,Mobitec,Sim,Não
Santa Rosa,106,Comil Svelto 6,2015,Volvo B270F,2,Mobitec,Sim,Não
Santa Rosa,107,Comil Svelto 6,2015,Volvo B270F,2,Mobitec,Sim,Não
Santa Rosa,108,Comil Svelto 6,2015,Volvo B270F,2,Mobitec,Sim,Não
Santa Rosa,109,Comil Svelto 6,2015,Volvo B270F,2,Mobitec,Sim,Não
Santa Rosa,110,Comil Svelto 6,2015,Volvo B270F,2,Mobitec,Sim,Não
Santa Rosa,111,Comil Svelto 6,2015,Volvo B270F,2,Mobitec,Sim,Não
Santa Rosa,112,Comil Svelto 6,2015,Volvo B270F,2,Mobitec,Sim,Não
Santa Rosa,113,Comil Svelto 6,2015,Volvo B270F,2,Mobitec,Sim,Não
Santa Rosa,114,Comil Svelto 6,2015,Volvo B270F,2,Mobitec,Sim,Não
Santa Rosa,115,Comil Svelto 6,2015,Volvo B270F,2,Mobitec,Sim,Não
Santa Rosa,116,Comil Svelto 6,2015,Volvo B270F,2,Mobitec,Sim,Não
Santa Rosa,117,Comil Svelto 6,2015,Volvo B270F,2,Mobitec,Sim,Não
Santa Rosa,140,Comil Svelto V,2008,Mercedes-Benz OF-1722M,2,Mobitec,Não,Não
Santa Rosa,141,Comil Svelto V,2008,Mercedes-Benz OF-1722M,2,Mobitec,Não,Não
Santa Rosa,143,Marcopolo Torino G7,2011,Mercedes-Benz OF-1722M,2,LEDS,Sim,Não
Santa Rosa,144,Marcopolo Torino G7,2007,Mercedes-Benz OF-1722M,2,Mobitec,Não,Não
Santa Rosa,145,Marcopolo Torino G7,2007,Mercedes-Benz OF-1722M,2,Mobitec,Não,Não
Santa Rosa,146,Marcopolo Torino G7,2008,Mercedes-Benz OF-1722M,2,Mobitec,Não,Não
